,Fare Type,Timing,Distance,Fare per Ride
188,Senior citizen card fare,All other timings,34.3 km - 35.2 km,93
189,Senior citizen card fare,All other timings,35.3 km - 36.2 km,93
190,Senior citizen card fare,All other timings,36.3 km - 37.2 km,93
191,Senior citizen card fare,All other timings,37.3 km - 38.2 km,93
192,Senior citizen card fare,All other timings,38.3 km - 39.2 km,93
193,Senior citizen card fare,All other timings,39.3 km - 40.2 km,93
194,Senior citizen card fare,All other timings,Over 40.2 km,93
195,Student card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,0
196,Student card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,0
197,Student card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,3
198,Student card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,8
199,Student card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,11
200,Student card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,14
201,Student card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,14
202,Student card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,14
203,Student card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,14
204,Student card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,14
205,Student card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,14
206,Student card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,14
207,Student card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,14
208,Student card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,14
209,Student card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,14
210,Student card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,14
211,Student card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,14
212,Student card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,14
213,Student card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,14
214,Student card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,14
215,Student card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,14
216,Student card fare,Before 7.45am  (Weekdays excluding public holidays),23.3 km - 24.2 km,14
217,Student card fare,Before 7.45am  (Weekdays excluding public holidays),24.3 km - 25.2 km,14
218,Student card fare,Before 7.45am  (Weekdays excluding public holidays),25.3 km - 26.2 km,14
219,Student card fare,Before 7.45am  (Weekdays excluding public holidays),26.3 km - 27.2 km,14
220,Student card fare,Before 7.45am  (Weekdays excluding public holidays),27.3 km - 28.2 km,14
221,Student card fare,Before 7.45am  (Weekdays excluding public holidays),28.3 km - 29.2 km,14
222,Student card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,14
223,Student card fare,Before 7.45am  (Weekdays excluding public holidays),30.3 km - 31.2 km,14
224,Student card fare,Before 7.45am  (Weekdays excluding public holidays),31.3 km - 32.2 km,14
225,Student card fare,Before 7.45am  (Weekdays excluding public holidays),32.3 km - 33.2 km,14
226,Student card fare,Before 7.45am  (Weekdays excluding public holidays),33.3 km - 34.2 km,14
227,Student card fare,Before 7.45am  (Weekdays excluding public holidays),34.3 km - 35.2 km,14
228,Student card fare,Before 7.45am  (Weekdays excluding public holidays),35.3 km - 36.2 km,14
229,Student card fare,Before 7.45am  (Weekdays excluding public holidays),36.3 km - 37.2 km,14
230,Student card fare,Before 7.45am  (Weekdays excluding public holidays),37.3 km - 38.2 km,14
231,Student card fare,Before 7.45am  (Weekdays excluding public holidays),38.3 km - 39.2 km,14
232,Student card fare,Before 7.45am  (Weekdays excluding public holidays),39.3 km - 40.2 km,14
233,Student card fare,Before 7.45am  (Weekdays excluding public holidays),Over 40.2 km,14
234,Student card fare,All other timings,Up to 3.2 km,43
235,Student card fare,All other timings,3.3 km - 4.2 km,48
236,Student card fare,All other timings,4.3 km - 5.2 km,53
237,Student card fare,All other timings,5.3 km - 6.2 km,58
238,Student card fare,All other timings,6.3 km - 7.2 km,61
239,Student card fare,All other timings,7.3 km - 8.2 km,64
240,Student card fare,All other timings,8.3 km - 9.2 km,64
241,Student card fare,All other timings,9.3 km - 10.2 km,64
242,Student card fare,All other timings,10.3 km - 11.2 km,64
