Month,Type of Vehicle,Type of Fuel,Count
2018-02,Cars,Diesel-Electric,21
2018-03,Cars,Petrol,573351
2018-03,Cars,Diesel,15827
2018-03,Cars,Petrol-Electric,21267
2018-03,Cars,Petrol-Electric (Plug-In),222
2018-03,Cars,Petrol-CNG,903
2018-03,Cars,CNG,0
2018-03,Cars,Electric,348
2018-03,Cars,Diesel-Electric,21
2018-04,Cars,Petrol,573152
2018-04,Cars,Diesel,16077
2018-04,Cars,Petrol-Electric,21820
2018-04,Cars,Petrol-Electric (Plug-In),232
2018-04,Cars,Petrol-CNG,848
2018-04,Cars,CNG,0
2018-04,Cars,Electric,353
2018-04,Cars,Diesel-Electric,21
2018-05,Cars,Petrol,573322
2018-05,Cars,Diesel,16237
2018-05,Cars,Petrol-Electric,22449
2018-05,Cars,Petrol-Electric (Plug-In),238
2018-05,Cars,Petrol-CNG,762
2018-05,Cars,CNG,0
2018-05,Cars,Electric,354
2018-05,Cars,Diesel-Electric,21
2018-06,Cars,Petrol,575441
2018-06,Cars,Diesel,16555
2018-06,Cars,Petrol-Electric,23941
2018-06,Cars,Petrol-Electric (Plug-In),270
2018-06,Cars,Petrol-CNG,671
2018-06,Cars,CNG,0
2018-06,Cars,Electric,358
2018-06,Cars,Diesel-Electric,21
2018-07,Cars,Petrol,573064
2018-07,Cars,Diesel,16843
2018-07,Cars,Petrol-Electric,24229
2018-07,Cars,Petrol-Electric (Plug-In),284
2018-07,Cars,Petrol-CNG,590
2018-07,Cars,CNG,0
2018-07,Cars,Electric,363
2018-07,Cars,Diesel-Electric,21
2018-08,Cars,Petrol,571787
2018-08,Cars,Diesel,16920
2018-08,Cars,Petrol-Electric,24624
2018-08,Cars,Petrol-Electric (Plug-In),297
2018-08,Cars,Petrol-CNG,521
2018-08,Cars,CNG,0
2018-08,Cars,Electric,406
2018-08,Cars,Diesel-Electric,21
2018-09,Cars,Petrol,570828
2018-09,Cars,Diesel,17019
2018-09,Cars,Petrol-Electric,25183
2018-09,Cars,Petrol-Electric (Plug-In),323
2018-09,Cars,Petrol-CNG,475
2018-09,Cars,CNG,0
2018-09,Cars,Electric,443
2018-09,Cars,Diesel-Electric,21
2018-10,Cars,Petrol,570486
2018-10,Cars,Diesel,17061
2018-10,Cars,Petrol-Electric,25943
2018-10,Cars,Petrol-Electric (Plug-In),336
2018-10,Cars,Petrol-CNG,431
2018-10,Cars,CNG,0
2018-10,Cars,Electric,462
2018-10,Cars,Diesel-Electric,21
2018-11,Cars,Petrol,570086
2018-11,Cars,Diesel,17135
2018-11,Cars,Petrol-Electric,26468
2018-11,Cars,Petrol-Electric (Plug-In),357
2018-11,Cars,Petrol-CNG,404
2018-11,Cars,CNG,0
2018-11,Cars,Electric,466
2018-11,Cars,Diesel-Electric,21
2018-12,Cars,Petrol,569673
2018-12,Cars,Diesel,17253
2018-12,Cars,Petrol-Electric,27179
2018-12,Cars,Petrol-Electric (Plug-In),380
2018-12,Cars,Petrol-CNG,386
2018-12,Cars,CNG,0
2018-12,Cars,Electric,560
2018-12,Cars,Diesel-Electric,21
2019-01,Cars,Petrol,570742
2019-01,Cars,Diesel,17323
2019-01,Cars,Petrol-Electric,28222
2019-01,Cars,Petrol-Electric (Plug-In),393
2019-01,Cars,Petrol-CNG,369
2019-01,Cars,CNG,0
2019-01,Cars,Electric,650
2019-01,Cars,Diesel-Electric,21
2019-02,Cars,Petrol,570512
2019-02,Cars,Diesel,17354
2019-02,Cars,Petrol-Electric,28679
2019-02,Cars,Petrol-Electric (Plug-In),397
2019-02,Cars,Petrol-CNG,356
2019-02,Cars,CNG,0
2019-02,Cars,Electric,676
2019-02,Cars,Diesel-Electric,20
2019-03,Cars,Petrol,570609
2019-03,Cars,Diesel,17422
2019-03,Cars,Petrol-Electric,29354
2019-03,Cars,Petrol-Electric (Plug-In),406
2019-03,Cars,Petrol-CNG,342
2019-03,Cars,CNG,0
2019-03,Cars,Electric,694
2019-03,Cars,Diesel-Electric,19
2019-04,Cars,Petrol,572114
2019-04,Cars,Diesel,17534
2019-04,Cars,Petrol-Electric,29931
2019-04,Cars,Petrol-Electric (Plug-In),410
2019-04,Cars,Petrol-CNG,331
2019-04,Cars,CNG,0
2019-04,Cars,Electric,729
2019-04,Cars,Diesel-Electric,19
2019-05,Cars,Petrol,573110
2019-05,Cars,Diesel,17642
2019-05,Cars,Petrol-Electric,30485
2019-05,Cars,Petrol-Electric (Plug-In),417
2019-05,Cars,Petrol-CNG,319
2019-05,Cars,CNG,0
2019-05,Cars,Electric,796
2019-05,Cars,Diesel-Electric,19
2019-06,Cars,Petrol,574260
2019-06,Cars,Diesel,17719
2019-06,Cars,Petrol-Electric,31117
2019-06,Cars,Petrol-Electric (Plug-In),429
2019-06,Cars,Petrol-CNG,299
2019-06,Cars,CNG,0
2019-06,Cars,Electric,832
2019-06,Cars,Diesel-Electric,20
2019-07,Cars,Petrol,575210
2019-07,Cars,Diesel,17800
2019-07,Cars,Petrol-Electric,32043
2019-07,Cars,Petrol-Electric (Plug-In),439
2019-07,Cars,Petrol-CNG,284
2019-07,Cars,CNG,0
2019-07,Cars,Electric,901
2019-07,Cars,Diesel-Electric,20
2019-08,Cars,Petrol,575132
2019-08,Cars,Diesel,17858
2019-08,Cars,Petrol-Electric,32800
2019-08,Cars,Petrol-Electric (Plug-In),446
2019-08,Cars,Petrol-CNG,278
2019-08,Cars,CNG,0
2019-08,Cars,Electric,962
2019-08,Cars,Diesel-Electric,20
2019-09,Cars,Petrol,575493
2019-09,Cars,Diesel,17928
2019-09,Cars,Petrol-Electric,33620
2019-09,Cars,Petrol-Electric (Plug-In),447
2019-09,Cars,Petrol-CNG,273
2019-09,Cars,CNG,0
2019-09,Cars,Electric,1036
2019-09,Cars,Diesel-Electric,19
2019-10,Cars,Petrol,575371
2019-10,Cars,Diesel,17957
2019-10,Cars,Petrol-Electric,34333
2019-10,Cars,Petrol-Electric (Plug-In),457
2019-10,Cars,Petrol-CNG,264
2019-10,Cars,CNG,0
2019-10,Cars,Electric,1109
2019-10,Cars,Diesel-Electric,19
2019-11,Cars,Petrol,575432
2019-11,Cars,Diesel,18013
2019-11,Cars,Petrol-Electric,35013
2019-11,Cars,Petrol-Electric (Plug-In),462
2019-11,Cars,Petrol-CNG,256
2019-11,Cars,CNG,0
2019-11,Cars,Electric,1112
2019-11,Cars,Diesel-Electric,19
2019-12,Cars,Petrol,574967
2019-12,Cars,Diesel,18049
2019-12,Cars,Petrol-Electric,35718
2019-12,Cars,Petrol-Electric (Plug-In),473
2019-12,Cars,Petrol-CNG,250
2019-12,Cars,CNG,0
2019-12,Cars,Electric,1120
2019-12,Cars,Diesel-Electric,19
2020-01,Cars,Petrol,574945
2020-01,Cars,Diesel,18050
2020-01,Cars,Petrol-Electric,36395
2020-01,Cars,Petrol-Electric (Plug-In),489
2020-01,Cars,Petrol-CNG,244
2020-01,Cars,CNG,0
2020-01,Cars,Electric,1125
2020-01,Cars,Diesel-Electric,18
